employee_id,week,leaves,wfh,engagement,exception wfh
EMP0002,48,0,0,79,4
EMP0002,49,0,1,83,5
EMP0002,50,0,0,69,4
EMP0002,51,2,3,87,2
EMP0002,52,1,1,65,5
EMP0003,1,3,0,71,4
EMP0003,2,0,3,70,4
EMP0003,3,0,0,65,4
EMP0003,5,0,3,65,4
EMP0003,7,0,2,63,5
EMP0003,8,0,0,74,3
EMP0003,9,0,0,99,4
EMP0003,10,0,0,96,1
EMP0003,11,0,0,91,5
EMP0003,12,0,3,77,4
EMP0003,13,0,1,77,1
EMP0003,14,0,1,88,4
EMP0003,15,0,0,88,2
EMP0003,16,0,0,83,1
EMP0003,17,0,2,60,3
EMP0003,18,0,0,72,2
EMP0003,19,3,0,79,5
EMP0003,20,2,2,70,2
EMP0003,21,0,0,75,2
EMP0003,22,0,1,76,5
EMP0003,23,0,0,72,4
EMP0003,24,0,0,91,4
EMP0003,25,0,0,65,5
EMP0003,26,0,0,75,4
EMP0003,27,0,0,96,1
EMP0003,28,0,0,81,5
EMP0003,30,0,0,78,5
EMP0003,31,0,2,69,4
EMP0003,32,2,0,62,5
EMP0003,33,3,0,72,3
EMP0003,34,0,0,83,2
EMP0003,35,0,3,85,5
EMP0003,36,0,0,95,1
EMP0003,37,0,0,69,3
EMP0003,38,0,0,62,3
EMP0003,39,0,0,82,4
EMP0003,40,3,3,61,1
EMP0003,41,0,3,92,5
EMP0003,42,3,2,75,3
EMP0003,43,0,0,92,3
EMP0003,44,0,2,78,2
EMP0003,45,0,0,60,1
EMP0003,46,0,0,86,1
EMP0003,47,0,0,88,2
EMP0003,48,1,1,77,5
EMP0003,49,0,0,93,1
EMP0003,50,0,0,71,4
EMP0003,51,0,0,93,3
EMP0003,52,1,0,61,2
EMP0004,1,1,1,67,5
EMP0004,2,0,2,77,5
EMP0004,3,0,2,96,4
EMP0004,4,0,2,60,3
EMP0004,5,0,0,78,2
EMP0004,7,2,0,84,4
EMP0004,8,0,0,71,3
EMP0004,11,3,3,88,3
EMP0004,12,1,0,69,1
EMP0004,13,3,3,98,2
EMP0004,15,0,2,68,5
EMP0004,16,0,1,76,1
EMP0004,17,0,0,75,2
EMP0004,18,0,3,76,5
EMP0004,19,0,0,92,3
EMP0004,20,3,0,97,3
EMP0004,21,0,0,80,5
EMP0004,22,0,0,65,4
EMP0004,23,0,0,90,3
EMP0004,24,0,1,89,3
EMP0004,25,0,0,60,1
EMP0004,26,0,1,90,3
EMP0004,27,0,0,87,3
EMP0004,28,2,0,69,3
EMP0004,29,0,0,73,3
EMP0004,30,0,0,92,4
EMP0004,31,1,0,86,1
EMP0004,32,0,2,87,4
EMP0004,33,0,0,80,2
EMP0004,34,0,0,79,4
EMP0004,35,3,2,96,3
EMP0004,36,0,0,61,5
EMP0004,37,0,3,97,3
EMP0004,38,0,3,68,5
EMP0004,39,0,1,67,1
EMP0004,40,0,0,93,1
EMP0004,41,0,1,90,4
EMP0004,42,0,1,94,3
EMP0004,43,0,0,75,3
EMP0004,44,3,0,62,4
EMP0004,45,0,0,84,2
EMP0004,46,0,0,77,5
EMP0004,47,0,0,98,3
EMP0004,48,0,0,78,3
EMP0004,49,0,0,100,5
EMP0004,50,0,1,61,2
EMP0004,51,0,1,87,4
EMP0004,52,0,0,98,3
EMP0005,2,0,0,60,2
EMP0005,3,0,3,74,5
EMP0005,4,0,2,84,4
EMP0005,5,0,0,96,2
EMP0005,6,0,0,67,1
EMP0005,7,0,2,64,5
EMP0005,8,1,2,63,5
EMP0005,9,0,0,73,3
EMP0005,10,0,0,76,3
EMP0005,11,0,0,67,5
EMP0005,12,0,0,75,2
EMP0005,13,1,0,98,1
EMP0005,14,3,1,93,1
EMP0005,15,0,2,60,4
EMP0005,16,0,0,100,5
EMP0005,17,0,0,99,3
EMP0005,18,0,1,73,2
EMP0005,19,0,0,86,3
EMP0005,20,0,0,74,3
EMP0005,21,1,2,94,4
EMP0005,22,0,0,64,4
EMP0005,23,0,0,99,1
EMP0005,24,3,0,68,2
EMP0005,25,1,0,83,2
EMP0005,26,1,0,62,5
EMP0005,27,1,2,96,2
EMP0005,28,0,0,87,1
EMP0005,29,0,0,87,3
EMP0005,30,0,0,84,2
EMP0005,31,0,1,76,4
EMP0005,32,0,3,71,1
EMP0005,33,3,1,67,2
EMP0005,34,0,3,79,2
EMP0005,35,0,3,88,2
EMP0005,36,2,0,96,3
EMP0005,37,0,3,82,4
EMP0005,38,2,0,87,1
EMP0005,39,3,0,72,5
EMP0005,40,2,2,85,3
EMP0005,41,0,0,89,5
EMP0005,42,0,0,88,5
EMP0005,43,0,0,94,4
EMP0005,44,0,0,63,5
EMP0005,45,3,1,87,3
EMP0005,47,0,0,65,4
EMP0005,48,0,0,93,5
EMP0005,49,0,0,62,2
EMP0005,50,1,2,80,2
EMP0005,51,0,0,63,1
EMP0005,52,0,0,91,2
EMP0006,2,0,2,66,3
EMP0006,3,2,0,90,4
EMP0006,4,2,0,96,5
EMP0006,5,0,0,62,3
EMP0006,6,0,0,63,1
EMP0006,7,0,2,68,5
EMP0006,8,0,2,71,3
EMP0006,9,0,0,79,4
EMP0006,10,0,2,94,5
EMP0006,12,0,0,83,2
EMP0006,14,0,0,100,5
EMP0006,15,1,0,63,1
EMP0006,16,0,0,78,3
EMP0006,17,3,0,96,3
EMP0006,18,0,1,77,1
EMP0006,19,0,1,80,5
EMP0006,20,0,0,63,1
EMP0006,21,0,1,64,2
EMP0006,22,3,0,69,2
EMP0006,23,0,0,68,5
EMP0006,24,0,2,94,5
EMP0006,25,0,2,89,1
EMP0006,26,1,0,94,2
EMP0006,27,0,0,65,5
EMP0006,28,2,0,67,3
EMP0006,29,0,0,76,1
EMP0006,30,0,0,81,4
EMP0006,31,0,0,84,3
EMP0006,32,0,0,83,4
EMP0006,33,3,3,84,3
EMP0006,34,0,1,80,3
EMP0006,35,0,2,60,1
EMP0006,36,0,1,77,3
EMP0006,37,0,0,98,1
EMP0006,38,0,2,71,4
EMP0006,39,0,0,66,2
EMP0006,40,0,3,65,3
EMP0006,41,1,0,83,5
EMP0006,42,0,3,72,5
EMP0006,43,1,1,100,2
EMP0006,44,0,3,60,3
EMP0006,45,0,0,70,3
EMP0006,46,0,0,73,3
EMP0006,47,0,0,86,5
EMP0006,48,0,0,76,4
EMP0006,49,0,0,87,4
EMP0006,51,0,0,84,3
EMP0006,52,0,0,75,5
EMP0007,1,3,0,62,3
EMP0007,2,3,3,61,4
EMP0007,3,0,1,65,2
EMP0007,4,0,3,90,4
EMP0007,5,0,0,70,1
EMP0007,6,3,0,71,1
EMP0007,7,0,3,65,1
EMP0007,8,0,0,98,1
EMP0007,9,0,2,79,1
EMP0007,10,0,1,89,2
EMP0007,11,0,0,74,5
EMP0007,12,0,0,88,4
EMP0007,13,3,0,82,3
EMP0007,16,0,0,99,5
EMP0007,17,0,1,64,4
EMP0007,18,0,3,66,4
EMP0007,19,0,0,91,2
EMP0007,20,0,0,89,1
EMP0007,21,3,1,75,4
EMP0007,22,0,0,92,3
EMP0007,23,0,0,73,4
EMP0007,24,0,0,67,5
EMP0007,25,0,0,61,2
EMP0007,26,0,2,71,2
EMP0007,27,0,3,98,3
EMP0007,28,0,1,70,3
EMP0007,29,0,1,95,2
EMP0007,30,3,1,77,2
EMP0007,31,0,0,89,2
EMP0007,32,0,2,90,1
EMP0007,33,0,0,76,1
EMP0007,34,0,0,66,1
EMP0007,35,0,3,63,3
EMP0007,36,0,2,63,1
EMP0007,37,0,0,91,2
EMP0007,39,0,0,67,1
EMP0007,40,0,3,86,1
EMP0007,41,0,3,76,5
EMP0007,42,0,0,91,3
EMP0007,43,0,1,77,1
EMP0007,44,0,1,80,1
EMP0007,45,0,0,96,3
EMP0007,46,0,0,87,2
EMP0007,47,0,3,63,1
EMP0007,48,0,0,77,5
EMP0007,49,0,0,66,4
EMP0007,50,0,2,94,3
EMP0007,51,2,0,74,5
EMP0007,52,1,0,72,2
EMP0008,1,0,2,76,3
EMP0008,2,3,3,88,3
EMP0008,3,0,0,60,3
EMP0008,4,0,2,91,2
EMP0008,5,0,2,65,3
EMP0008,6,0,0,69,2
EMP0008,7,3,0,66,2
EMP0008,8,0,1,70,1
EMP0008,9,2,0,97,3
EMP0008,10,0,0,79,2
EMP0008,11,0,0,100,5
EMP0008,12,0,1,93,3
EMP0008,13,0,0,90,1
EMP0008,16,0,0,75,2
EMP0008,17,0,0,65,3
EMP0008,18,0,0,82,5
EMP0008,19,0,2,95,5
EMP0008,20,3,0,70,5
EMP0008,21,3,0,77,2
EMP0008,22,0,1,99,3
EMP0008,23,0,0,85,1
EMP0008,24,0,1,65,4
EMP0008,25,0,1,84,2
EMP0008,28,0,0,69,5
EMP0008,30,0,0,81,4
EMP0008,31,0,0,76,4
EMP0008,32,0,0,95,4
EMP0008,33,0,3,91,5
EMP0008,34,0,0,91,3
EMP0008,35,0,2,68,5
EMP0008,36,2,1,77,2
EMP0008,37,0,0,74,3
EMP0008,38,0,0,79,2
EMP0008,39,0,0,67,3
EMP0008,40,2,0,71,4
EMP0008,41,0,0,97,5
EMP0008,42,0,3,81,3
EMP0008,43,3,2,75,2
EMP0008,44,2,0,85,4
EMP0008,45,0,1,71,2
EMP0008,46,0,2,87,2
EMP0008,47,0,0,92,1
EMP0008,48,0,0,97,4
EMP0008,49,0,3,90,2
EMP0008,50,0,0,60,2
EMP0008,51,0,0,69,5
EMP0008,52,3,0,82,5
EMP0009,1,0,0,67,4
EMP0009,2,2,0,89,3
EMP0009,3,0,3,77,3
EMP0009,4,0,3,60,3
EMP0009,5,0,3,79,5
EMP0009,6,0,2,73,2
EMP0009,7,0,3,93,2
EMP0009,9,0,0,61,1
EMP0009,10,2,0,65,5
EMP0009,11,0,0,64,2
EMP0009,12,0,3,96,4
EMP0009,13,0,0,61,5
EMP0009,14,0,3,61,2
EMP0009,15,0,0,85,2
EMP0009,16,0,0,68,4
EMP0009,17,0,0,92,4
EMP0009,18,0,3,65,4
EMP0009,19,1,1,62,1
EMP0009,20,0,0,81,1
EMP0009,21,2,0,96,3
EMP0009,24,0,0,64,3
EMP0009,25,0,0,74,2
EMP0009,27,0,0,96,2
EMP0009,28,0,0,81,2
EMP0009,29,0,1,74,3
EMP0009,30,0,2,96,1
EMP0009,31,0,0,91,5
EMP0009,32,0,2,95,5
EMP0009,33,0,0,91,3
EMP0009,34,0,3,87,2
EMP0009,35,3,0,83,5
EMP0009,36,0,0,72,3
EMP0009,38,0,0,64,4
EMP0009,39,1,1,75,1
EMP0009,40,2,1,64,1
EMP0009,41,0,1,65,1
EMP0009,42,0,2,73,1
EMP0009,43,3,0,67,2
EMP0009,44,0,3,72,5
EMP0009,45,0,0,98,1
EMP0009,46,0,3,82,4
EMP0009,47,0,0,91,5
EMP0009,48,0,3,78,3
EMP0009,49,0,0,84,3
EMP0009,50,0,0,62,1
EMP0009,51,0,1,83,2
EMP0009,52,0,0,79,1
EMP0010,1,0,2,63,3
EMP0010,3,0,0,63,4
EMP0010,4,0,0,90,2
EMP0010,5,0,2,83,4
EMP0010,6,0,2,100,5
EMP0010,7,1,0,93,3
EMP0010,8,0,1,93,4
EMP0010,9,1,0,68,3
EMP0010,10,0,3,91,1
EMP0010,11,0,3,60,5
EMP0010,12,0,0,72,3
EMP0010,13,0,2,72,3
EMP0010,14,0,2,79,4
EMP0010,15,0,0,72,4
EMP0010,16,0,0,72,4
EMP0010,17,0,0,67,2
EMP0010,18,0,0,86,2
EMP0010,19,1,0,86,4
EMP0010,20,0,0,100,3
EMP0010,21,0,1,78,1
EMP0010,22,3,2,64,3
EMP0010,23,0,0,94,5
EMP0010,24,1,0,83,5
EMP0010,25,0,1,82,4
EMP0010,26,1,3,71,2
EMP0010,27,0,2,91,4
EMP0010,28,0,3,76,4
EMP0010,29,1,2,83,5
EMP0010,30,0,0,64,5
EMP0010,31,0,1,65,1
EMP0010,32,0,0,72,3
EMP0010,33,0,1,92,2
EMP0010,34,0,0,61,5
EMP0010,35,0,2,97,1
EMP0010,36,0,0,92,3
EMP0010,37,0,0,100,2
EMP0010,38,0,3,77,5
EMP0010,39,0,0,98,1
EMP0010,40,0,3,90,1
EMP0010,41,0,0,64,1
EMP0010,42,0,0,87,3
EMP0010,43,0,3,81,2
EMP0010,44,0,3,88,1
EMP0010,45,0,3,67,4
EMP0010,46,0,2,83,2
EMP0010,48,0,2,82,4
EMP0010,49,0,0,64,1
EMP0010,50,1,2,71,4
EMP0010,51,2,3,70,4
EMP0010,52,0,0,72,3
EMP0011,1,0,0,88,3
EMP0011,2,0,2,90,3
EMP0011,4,0,0,62,4
EMP0011,5,0,2,78,1
EMP0011,6,0,2,95,1
EMP0011,7,0,0,92,3
EMP0011,8,0,2,97,2
EMP0011,9,0,0,64,2
EMP0011,10,0,0,65,3
EMP0011,11,2,2,79,1
EMP0011,12,0,1,98,2
EMP0011,13,0,0,74,1
EMP0011,15,2,2,96,5
EMP0011,16,0,0,83,5
EMP0011,17,0,0,75,2
EMP0011,18,0,2,91,3
EMP0011,19,0,0,64,1
EMP0011,20,3,0,83,2
EMP0011,21,0,0,88,1
EMP0011,22,0,3,88,3
EMP0011,23,0,0,78,2
EMP0011,24,1,0,86,5
EMP0011,25,2,3,100,3
EMP0011,26,0,2,97,5
EMP0011,27,0,0,91,1
EMP0011,28,0,2,63,5
EMP0011,29,0,0,71,1
EMP0011,30,0,0,70,4
EMP0011,31,0,0,89,1
EMP0011,32,0,0,79,4
EMP0011,33,0,0,67,1
EMP0011,34,0,0,64,4
EMP0011,35,0,1,95,1
EMP0011,36,0,0,99,5
EMP0011,37,0,0,68,4
EMP0011,38,0,0,100,4
EMP0011,39,0,0,87,3
EMP0011,40,0,0,73,3
EMP0011,42,0,3,93,3
EMP0011,43,1,0,96,2
EMP0011,44,0,0,98,1
EMP0011,45,0,2,86,1
EMP0011,47,3,0,88,3
EMP0011,48,0,0,98,5
EMP0011,49,3,0,90,2
EMP0011,50,0,0,77,5
EMP0011,52,2,2,81,4
EMP0012,2,0,2,61,3
EMP0012,3,0,0,75,2
EMP0012,4,0,0,76,5
EMP0012,5,0,0,69,4
EMP0012,6,0,0,85,5
EMP0012,7,0,1,74,3
EMP0012,8,0,0,96,2
EMP0012,9,0,1,83,2
EMP0012,10,3,2,64,2
EMP0012,11,2,0,68,1
EMP0012,13,0,1,91,2
EMP0012,15,0,0,69,4
EMP0012,17,0,0,91,3
EMP0012,18,0,0,61,2
EMP0012,19,0,0,83,3
EMP0012,20,0,0,77,2
EMP0012,21,2,1,78,4
EMP0012,22,0,1,100,5
EMP0012,24,0,0,75,5
EMP0012,25,0,0,72,4
EMP0012,26,0,0,70,3
EMP0012,28,0,3,74,2
EMP0012,31,0,0,60,5
EMP0012,32,0,3,82,5
EMP0012,33,0,0,86,3
EMP0012,34,0,3,86,3
EMP0012,35,0,0,78,1
EMP0012,36,0,2,69,5
EMP0012,37,0,2,75,3
EMP0012,38,1,0,81,4
EMP0012,40,0,2,75,2
EMP0012,42,0,0,64,3
EMP0012,43,2,0,60,1
EMP0012,44,3,1,61,2
EMP0012,45,3,1,78,4
EMP0012,46,1,0,95,2
EMP0012,47,0,1,83,1
EMP0012,49,0,0,87,5
EMP0012,51,0,0,71,3
EMP0012,52,3,2,78,3
EMP0013,1,0,0,73,4
EMP0013,2,0,3,62,5
EMP0013,3,0,0,91,2
EMP0013,4,3,1,75,1
EMP0013,5,2,0,81,4
EMP0013,6,0,3,82,3
EMP0013,7,0,1,97,1
EMP0013,8,0,0,88,2
EMP0013,9,0,0,82,2
EMP0013,10,0,0,83,3
EMP0013,11,0,0,69,5
EMP0013,12,2,1,84,4
EMP0013,13,3,3,96,4
EMP0013,14,0,1,65,3
EMP0013,15,0,0,83,4
EMP0013,16,2,0,63,3
EMP0013,17,0,0,100,4
EMP0013,18,0,0,81,3
EMP0013,19,0,0,71,3
EMP0013,20,0,2,66,4
EMP0013,21,0,0,88,3
EMP0013,22,0,0,91,5
EMP0013,23,0,1,79,3
EMP0013,24,3,0,92,5
EMP0013,25,0,0,94,1
EMP0013,26,0,2,100,3
EMP0013,28,3,0,98,5
EMP0013,29,0,2,84,4
EMP0013,30,0,2,64,3
EMP0013,31,0,0,95,3
EMP0013,32,0,3,85,2
EMP0013,33,1,0,81,2
EMP0013,34,0,2,85,2
EMP0013,35,0,0,63,5
EMP0013,36,0,0,88,1
EMP0013,38,0,0,87,4
EMP0013,39,2,1,72,4
EMP0013,40,0,0,83,4
EMP0013,41,0,3,93,4
EMP0013,43,3,0,91,2
EMP0013,44,0,3,79,4
EMP0013,45,3,1,62,2
EMP0013,47,0,2,97,1
EMP0013,48,0,0,99,1
EMP0013,49,0,0,86,3
EMP0013,51,0,2,94,3
EMP0013,52,0,0,77,1
EMP0014,1,0,0,69,5
EMP0014,2,0,1,61,5
EMP0014,3,0,0,99,4
EMP0014,4,0,0,74,5
EMP0014,5,0,0,70,2
EMP0014,6,0,2,88,3
EMP0014,7,1,0,80,4
EMP0014,8,0,0,64,3
EMP0014,9,3,1,69,5
EMP0014,10,1,0,80,2
EMP0014,11,3,0,88,3
EMP0014,12,0,0,85,5
EMP0014,13,0,0,88,5
EMP0014,14,3,3,63,1
EMP0014,15,0,3,66,3
EMP0014,16,0,0,75,3
EMP0014,17,0,3,90,1
EMP0014,18,0,0,97,2
EMP0014,19,0,0,97,3
EMP0014,20,0,3,80,1
EMP0014,21,0,3,67,1
EMP0014,22,0,3,97,2
EMP0014,23,2,0,78,4
EMP0014,24,0,3,71,2
EMP0014,25,0,2,69,2
EMP0014,26,0,0,91,4
EMP0014,27,0,0,70,1
EMP0014,28,0,0,87,5
EMP0014,29,0,0,63,5
EMP0014,31,0,0,81,2
EMP0014,33,0,1,83,5
EMP0014,34,0,3,64,2
EMP0014,35,0,2,95,2
EMP0014,36,2,0,88,4
EMP0014,37,0,1,88,4
EMP0014,38,0,3,74,2
EMP0014,39,3,2,86,5
EMP0014,40,0,2,87,1
EMP0014,41,0,0,99,4
EMP0014,42,0,2,69,4
EMP0014,43,0,0,78,3
EMP0014,44,0,3,63,5
EMP0014,46,0,0,98,2
EMP0014,47,2,1,76,5
EMP0014,48,0,1,88,3
EMP0014,49,0,1,90,5
EMP0014,50,1,0,85,1
EMP0014,52,0,0,69,3
EMP0015,2,0,0,78,3
EMP0015,3,0,0,84,5
EMP0015,4,0,0,100,3
EMP0015,5,3,3,80,5
EMP0015,6,0,0,61,5
EMP0015,7,0,0,84,5
EMP0015,8,0,1,90,3
EMP0015,9,0,0,84,3
EMP0015,10,0,0,85,1
EMP0015,11,3,0,78,1
EMP0015,12,0,2,92,4
EMP0015,13,3,1,84,1
EMP0015,15,0,1,66,5
EMP0015,16,2,0,69,3
EMP0015,17,0,1,87,5
EMP0015,18,0,0,68,4
EMP0015,19,2,1,89,1
EMP0015,20,0,2,82,5
EMP0015,21,0,2,79,1
EMP0015,22,0,1,100,1
EMP0015,23,0,0,83,4
EMP0015,24,1,0,95,5
EMP0015,25,0,0,78,5
EMP0015,26,0,3,89,2
EMP0015,27,0,1,83,3
EMP0015,28,0,0,83,1
EMP0015,29,0,1,70,5
EMP0015,30,1,0,70,2
EMP0015,32,0,2,64,1
EMP0015,33,0,0,61,4
EMP0015,34,0,1,100,2
EMP0015,35,0,1,70,2
EMP0015,36,0,0,68,4
EMP0015,37,0,0,92,3
EMP0015,39,0,0,72,3
EMP0015,40,3,0,92,4
EMP0015,41,0,0,74,3
EMP0015,42,0,0,72,5
EMP0015,43,0,0,99,4
EMP0015,44,0,0,88,1
EMP0015,45,0,0,69,2
EMP0015,46,0,0,60,5
EMP0015,47,0,0,88,1
EMP0015,48,0,0,89,2
EMP0015,49,0,0,93,1
EMP0015,50,0,0,81,1
EMP0015,51,1,2,100,5
EMP0015,52,2,3,75,3
EMP0016,1,0,2,80,3
EMP0016,2,0,0,65,3
EMP0016,3,0,1,84,5
EMP0016,4,2,0,73,2
EMP0016,5,0,2,96,5
EMP0016,7,0,0,80,2
EMP0016,8,0,0,80,5
EMP0016,9,0,0,78,4
EMP0016,10,0,0,88,3
EMP0016,11,0,3,85,3
EMP0016,12,0,0,92,5
EMP0016,13,3,0,67,1
EMP0016,14,0,0,96,3
EMP0016,17,2,0,99,1
EMP0016,19,0,0,100,3
EMP0016,20,2,0,74,3
EMP0016,21,0,3,92,4
EMP0016,22,0,3,95,4
EMP0016,23,0,3,79,4
EMP0016,24,0,0,88,1
EMP0016,25,0,0,96,5
EMP0016,26,0,0,60,1
EMP0016,27,0,0,71,3
EMP0016,28,0,0,75,5
EMP0016,29,1,0,97,2
EMP0016,30,3,0,65,1
EMP0016,31,0,0,68,3
EMP0016,33,0,0,72,2
EMP0016,34,3,0,100,3
EMP0016,35,0,3,80,5
EMP0016,36,0,3,95,5
EMP0016,37,0,0,78,3
EMP0016,38,0,3,71,3
EMP0016,39,0,3,73,3
EMP0016,40,2,3,100,4
EMP0016,42,0,0,63,2
EMP0016,43,0,0,96,3
EMP0016,44,0,1,74,4
EMP0016,45,0,0,62,4
EMP0016,46,1,0,61,4
EMP0016,47,0,2,85,2
EMP0016,48,0,0,94,4
EMP0016,49,0,3,99,5
EMP0016,50,0,3,72,5
EMP0016,51,0,0,98,3
EMP0016,52,1,1,73,1
EMP0017,1,0,3,92,5
EMP0017,2,0,3,61,1
EMP0017,3,0,0,80,5
EMP0017,4,0,0,68,2
EMP0017,5,0,0,85,1
EMP0017,6,0,0,70,1
EMP0017,7,0,0,89,1
EMP0017,8,2,0,77,5
EMP0017,9,0,1,61,2
EMP0017,10,2,0,71,4
EMP0017,11,0,1,67,3
EMP0017,12,0,0,72,3
EMP0017,13,1,0,73,1
EMP0017,14,0,2,76,4
EMP0017,15,0,0,82,1
EMP0017,16,0,3,66,4
EMP0017,17,2,3,87,3
EMP0017,18,0,0,62,3
EMP0017,19,0,1,100,3
EMP0017,20,0,0,86,3
EMP0017,21,3,0,95,1
EMP0017,24,0,0,79,5
EMP0017,25,0,0,93,5
EMP0017,26,0,0,100,3
EMP0017,27,0,3,89,2
EMP0017,29,0,0,72,4
EMP0017,30,0,3,72,4
EMP0017,31,0,0,61,4
EMP0017,33,2,0,99,5
EMP0017,34,0,1,91,5
EMP0017,35,3,3,100,2
EMP0017,36,0,0,87,5
EMP0017,37,0,0,86,3
EMP0017,38,0,0,76,4
EMP0017,39,0,2,69,1
EMP0017,40,0,0,91,1
EMP0017,41,3,0,68,3
EMP0017,42,0,2,72,2
EMP0017,43,0,0,68,1
EMP0017,44,0,1,83,4
EMP0017,45,1,1,66,1
EMP0017,46,0,3,68,1
EMP0017,47,0,0,81,1
EMP0017,48,0,0,90,5
EMP0017,49,0,0,77,1
EMP0017,51,0,0,90,1
EMP0017,52,0,2,91,1
EMP0018,1,0,0,99,4
EMP0018,2,0,2,64,4
EMP0018,4,0,0,79,3
EMP0018,5,0,1,60,4
EMP0018,7,0,0,84,3
EMP0018,9,0,0,94,5
EMP0018,10,0,0,60,5
EMP0018,11,3,2,84,1
EMP0018,12,1,0,62,3
EMP0018,13,0,0,64,4
EMP0018,14,0,0,72,1
EMP0018,15,0,0,83,2
EMP0018,16,0,3,72,5
EMP0018,17,0,0,88,2
EMP0018,18,3,3,96,4
EMP0018,19,0,0,90,1
EMP0018,20,0,3,77,5
EMP0018,21,0,3,83,3
EMP0018,22,1,0,93,2
EMP0018,23,0,0,69,2
EMP0018,24,0,0,91,1
EMP0018,25,0,0,68,4
EMP0018,26,0,0,80,4
EMP0018,27,0,2,77,5
EMP0018,28,0,1,62,1
EMP0018,30,0,0,83,5
EMP0018,31,0,0,100,3
EMP0018,32,0,1,97,4
EMP0018,33,2,3,65,2
EMP0018,34,0,2,100,3
EMP0018,35,0,1,64,5
EMP0018,36,2,1,99,5
EMP0018,37,0,0,94,5
EMP0018,38,0,2,93,2
EMP0018,39,0,3,74,4
EMP0018,40,2,3,96,4
EMP0018,41,2,1,98,4
EMP0018,42,0,0,91,4
EMP0018,43,3,0,90,4
EMP0018,44,0,2,81,5
EMP0018,45,0,0,99,4
EMP0018,47,0,0,97,4
EMP0018,48,0,2,66,1
EMP0018,49,0,0,61,1
EMP0018,50,0,0,72,3
EMP0018,51,0,0,85,1
EMP0018,52,0,0,100,3
EMP0019,1,0,0,88,2
EMP0019,2,3,0,94,4
EMP0019,3,0,2,88,4
EMP0019,4,0,0,91,1
EMP0019,5,0,3,82,3
EMP0019,6,0,0,89,3
EMP0019,7,0,2,97,1
EMP0019,8,0,0,68,3
EMP0019,9,0,0,90,2
EMP0019,10,0,2,81,1
EMP0019,11,0,3,98,1
EMP0019,12,1,2,75,3
EMP0019,13,1,3,83,1
EMP0019,15,0,2,97,5
EMP0019,16,0,2,79,1
EMP0019,17,0,0,65,4
EMP0019,18,0,3,92,2
EMP0019,20,0,0,95,2
EMP0019,21,0,3,70,2
EMP0019,22,0,0,62,5
